Message,Hate
I love this game!,0
You all are terrible at this!,1
This streamer is the best!,0
"Shut up, you noob!",1
So much fun to watch!,0
"Get lost, loser!",1
Nice play!,0
You should just quit!,1
Love the community here!,0
What a bunch of idiots!,1
GG everyone!,0
Stop wasting your time!,1
Great team effort!,0
You’re just a wannabe!,1
Can’t wait for the next match!,0
You all suck!,1
This is epic!,0
What a dumb thing to do!,1
So entertaining!,0
Why are you even here?,1
That was amazing!,0
Just quit already!,1
I enjoy the chats!,0
You’re all pathetic!,1
What a legend!,0
Go back to where you came from!,1
I’m having a blast!,0
You’re a joke!,1
Keep it up!,0
No one cares about you!,1
This community rocks!,0
You think you’re funny?,1
So many great moments!,0
Shut your mouth!,1
What a twist!,0
You’re just a fake!,1
I love the stream!,0
Nobody wants to hear from you!,1
Such a great vibe!,0
All of you should leave!,1
I’m so glad I tuned in!,0
Get a life!,1
Incredible skills!,0
You’re a waste of space!,1
This is my favorite stream!,0
Shame on you!,1
Looking forward to this!,0
Why are you even trying?,1
You’ve got this!,0
Nobody cares about your opinion!,1
Let’s go team!,0
You should be ashamed!,1
I like the way you play!,0
Typical loser behavior!,1
Such a great atmosphere!,0
All of you are cringe!,1
Hyped for the next round!,0
You’re just a troll!,1
Fantastic gameplay!,0
What a stupid thing to say!,1
Loving this channel!,0
You all are unqualified!,1
Happy to be here!,0
"Go home, noob!",1
This is what I needed!,0
You are all trash!,1
Awesome strategies!,0
You think you’re tough?,1
Can’t get enough of this!,0
Why don’t you just stop?,1
Skillful plays today!,0
You’re just making it worse!,1
Excited for the next game!,0
Shut up already!,1
"Great job, team!",0
You ruin everything!,1
What an inspiring moment!,0
Everyone is better than you!,1
Feeling the hype!,0
You’re such a loser!,1
Such a talented group!,0
Why do you even try?,1
Love this energy!,0
Just leave already!,1
So proud of this team!,0
Nobody wants you here!,1
What a fun time!,0
You’re embarrassing yourself!,1
Streaming is awesome!,0
Can you be any more annoying?,1
That was epic!,0
You should just give up!,1
This is such a vibe!,0
You’re a waste of bandwidth!,1
So glad I found this stream!,0
Stop acting like you matter!,1
Big fan of this channel!,0
"Just quit it, will you?",1
This is so cool!,0
Why don’t you go away?,1
Best community ever!,0
You think anyone likes you?,1
What an awesome night!,0
You should be banned!,1
Keep the good vibes coming!,0
Nobody even cares what you think!,1
This is a great place to hang out!,0
You sound so ignorant!,1
Excited for the content!,0
Why do you even exist?,1
Loving the enthusiasm!,0
You’re just embarrassing yourself!,1
Such a supportive community!,0
Stop pretending to care!,1
What a great crowd!,0
You should just log off!,1
What a fantastic match!,0
"Get out of here, loser!",1
The excitement is real!,0
You know nothing!,1
So many great players!,0
"Go away, nobody likes you!",1
Feeling the community spirit!,0
You’re such a wannabe!,1
Fantastic energy!,0
All of you should just quit!,1
This content is amazing!,0
You’re bringing everyone down!,1
Loving every minute!,0
Just stop talking!,1
What a fantastic stream!,0
You’re irrelevant!,1
Nice to see everyone!,0
Just quit already!,1
What a great game!,0
Save your breath!,1
This chat is wonderful!,0
You don’t matter!,1
So much fun watching this!,0
You sound so desperate!,1
Such great content!,0
Do everyone a favor and leave!,1
Incredible moments tonight!,0
You’re the worst!,1
I love this energy!,0
You shouldn’t even be here!,1
This is what gaming is about!,0
Nobody asked for your opinion!,1
Such a positive atmosphere!,0
Just go away!,1
I can’t get enough of this!,0
You are such a waste of time!,1
Amazing to see the support!,0
Enough of your nonsense!,1
This community is so welcoming!,0
You bring nothing to the table!,1
A lot of fun here!,0
Just shut up!,1
Enjoying the vibe!,0
You make it unbearable!,1
This chat is fantastic!,0
Why don’t you disappear?,1
Let’s keep the good vibes going!,0
You really need to quit!,1
So many incredible players!,0
You’re all pathetic excuses!,1
What an engaging stream!,0
You bring shame!,1
What a lively chat!,0
Nobody wants to see you here!,1
I love the excitement!,0
You should have stayed quiet!,1
Best stream ever!,0
Go crawl back!,1
Can’t believe how great this is!,0
You’re a total joke!,1
Amazing community support!,0
Just stop pretending!,1
What an exciting match!,0
Your comments are tiresome!,1
So many skilled players!,0
Everyone is better than you!,1
So much love in the chat!,0
You’re totally useless!,1
What a great interaction!,0
Nobody likes a know-it-all!,1
This chat is so positive!,0
You should keep your thoughts to yourself!,1
What an amazing moment to witness!,0
Stop acting superior!,1
Feeling great energy!,0
You are worthless!,1
So grateful for this community!,0
Quit embarrassing yourself!,1
Great vibes all around!,0
You should just log off!,1
What a fun night!,0
Just leave us alone!,1
Thrilled to be part of this!,0
You don’t belong here!,1
I could watch this forever!,0
How pathetic!,1
So much talent here!,0
Enough already!,1
Total blast watching this!,0
Stop being so dramatic!,1
Fantastic energy in the chat!,0
You have no idea what you’re talking about!,1
I really enjoy this channel!,0
Just leave already!,1
So many incredible moments!,0
Save your opinions for someone who cares!,1
I love the interaction!,0
Why don’t you go somewhere else?,1
This is my happy place!,0
"Shut up, nobody cares!",1
Feeling so positive!,0
You should really stop!,1
Incredible vibes and support!,0
Just go home!,1
What a beautiful stream!,0
You’re just making things worse!,1
So much fun chatting with everyone!,0
"Get lost, troll!",1
Great content all around!,0
You are nothing!,1
Loved the stream today!,0
Why are you even trying?,1
Feeling blessed to watch this!,0
You make everyone uncomfortable!,1
So excited for the next round!,0
Nobody wants you here!,1
What a lively chat!,0
You’re just bitter!,1
Thrilled to be here!,0
Why don’t you go home?,1
Incredible moments tonight!,0
You’re just a waste of space!,1
Feeling so good about this!,0
Just stop talking already!,1
What a fantastic atmosphere!,0
You’re too negative!,1
So many great players here!,0
Why are you still here?,1
I love the energy in the chat!,0
You’re frankly annoying!,1
Amazing teamwork!,0
Just go already!,1
What a fantastic game!,0
You’re not welcome here!,1
Loving the good vibes!,0
Leave before you embarrass yourself!,1
Excited to see more!,0
You’re making things uncomfortable!,1
What a supportive community!,0
Why do you even bother?,1
This chat is super friendly!,0
Enough negativity!,1
Feeling the excitement!,0
You ruin everything!,1
Such a great time here!,0
Enough of your nonsense!,1
What a joyful stream!,0
Just stop!,1
I really enjoy this community!,0
You’re just a distraction!,1
So many great moments!,0
Just give it a rest!,1
What a great atmosphere!,0
Can’t you just go away?,1
Feeling inspired by this stream!,0
Why don’t you do us a favor and leave?,1
What an amazing channel!,0
You can’t possibly think anyone cares!,1
Excited to be part of this chat!,0
Can you just be quiet for once?,1
This community is awesome!,0
Stop acting like you know everything!,1
So much joy in this chat!,0
You serve no purpose here!,1
Loved every moment!,0
"Just go away, please!",1
What a great experience!,0
You make everything worse!,1
Amazing energy from the community!,0
Could you be more annoying?,1
What a friendly atmosphere!,0
Just shut up already!,1
Feeling so positive about this stream!,0
You seem really lonely!,1
So many fun interactions!,0
You really should reconsider!,1
What an enjoyable chat!,0
You’re just here to spread hate!,1
Loving the fun atmosphere!,0
Why don’t you find a hobby?,1
This stream is really engaging!,0
Stop being so obnoxious!,1
Great vibes from everyone!,0
You need to grow up!,1
Such a lovely chat!,0
Enough with the drama!,1
What a fantastic community!,0
"You just don’t get it, do you?",1
So grateful for this content!,0
You seem really bitter!,1
What a warm welcome!,0
Nobody wants you here!,1
Fantastic energy tonight!,0
You’re the definition of cringe!,1
What an inspiring stream!,0
Quit wasting everyone’s time!,1
I love participating in this chat!,0
You should find a different hobby!,1
What a fantastic experience!,0
Enough negativity!,1
So much enthusiasm in the chat!,0
Please just go away!,1
Exciting to be part of this!,0
Can you be any more annoying?,1
What a beautiful moment!,0
Just stop pestering everyone!,1
You’re so inspired!,0
I wish you’d just go away!,1
What a lovely chat atmosphere!,0
You’re just here to stir up trouble!,1
Amazing community spirit!,0
Why don’t you just find some friends?,1
What an exciting stream overall!,0
You’re just ruining everything!,1
So much fun with the community!,0
You need to leave already!,1
What a great conversation!,0
Stop complaining!,1
Incredible energy here!,0
You’re only here to cause chaos!,1
Thrilled to chat with everyone!,0
What a fantastic channel!,0
You’re such a downer!,1
Excited for what’s coming next!,0
You should really just go away!,1
Diving into some fun!,0
No one cares about you!,1
Amazing support from everyone!,0
Why are you still talking?,1
This chat is so uplifting!,0
No one needs your bad vibes!,1
What a lovely stream today!,0
Just quit already!,1
Feeling good about this stream!,0
You’re quite the nuisance!,1
